Name	PrimarySmtpAddress
[VER] ViryanetFaxJeru	ver_VNFAXIL@accruent.com
[VER] ViryaNetFrontie	ver_FrontierTeam@accruent.com
[VER] ViryanetIsrael	ver_VNIL@accruent.com
[VER] ViryanetManagem	ver_VNManagement@accruent.com
[VER] ViryanetPSIL	ver_VNPS-IL@accruent.com
[VER] ViryanetPSManag	ver_VNPS-Mgmt@accruent.com
[VER] ViryanetPSUSA	ver_VNPS-NA@accruent.com
[VER] ViryanetRemote	ver_VNRemote@accruent.com
[VER] ViryanetResearc	ver_VNRD@accruent.com
[VER] ViryanetSpencer	ver_SpencerSupport@accruent.com
[VER] ViryanetSupport	ver_support@viryanet.com
[VER] ViryaNetSupport1	ver_eu-support@accruent.com
[VER] ViryanetTampa	ver_VNTampa@accruent.com
[VER] ViryanetWestbor	ver_vnWestborough@accruent.com
[VER] ViryanetWorkup	ver_Workup@accruent.com
[VER] viryOps	ver_viryOps@accruent.com
[VER] vx Field Outage Request	ver_vxfieldoutagerequest@accruent.com
[VER] vx Maintain Pod	ver_vxmaintainpod@accruent.com
[VER] vx Observe Pod	ver_vxobservepod@accruent.com
[VER] VX_Exceptions	ver_VX_Exceptions@accruent.com
[VER] vxField Internal	ver_vxfieldinternal@accruent.com
[VER] vxField Monitoring	ver_vxFieldMonitoring@accruent.com
[VER] vxField QA	ver_vxfieldqa@accruent.com
[VER] vxFieldServices	ver_vxFieldServices@accruent.com
[VER] WebexAdmin	ver_webexadmin@accruent.com
[VER] webmaster	ver_webmaster@accruent.com
[VER] WorkOasis	ver_WorkOasis@accruent.com
[VER] AccountManageme	ver_AccountManagement@accruent.com
[VER] AlbertsonsEfax	ver_ALBefax@accruent.com
[VER] Amazon Development	ver_aws_dev@accruent.com
[VER] BIL1Support	ver_BIL1support@accruent.com
[VER] BIL2ETL	ver_BIL2ETL@accruent.com
[VER] BIL2Reporting	ver_BIL2Reporting@accruent.com
[VER] BIProductionSup	ver_BIProductionSupport@accruent.com
[VER] ChristyEmail	ver_ChristyEmail@accruent.com
[VER] CodePush	ver_CodePush@accruent.com
[VER] Contact	ver_contact@accruent.com
[VER] Contracts	ver_contracts@accruent.com
[VER] Customer Support Agents	ver_csagents@accruent.com
[VER] DAB	ver_dab@accruent.com
[VER] dba-notify	ver_dba-notify@accruent.com
[VER] Deploy EAM	ver_deploy_eam@accruent.com
[VER] DevelopmentEAM	ver_developmentEAM@accruent.com
[VER] DevelopmentHara	ver_developmentharacybage@accruent.com
[VER] DevelopmentWOA	ver_DevelopmentWOA@accruent.com
[VER] Eam Problem Queries	ver_eam_problem_queries@accruent.com
