"Name","DisplayName","Alias","PrimarySmtpAddress"
"Atlas Architecture","Atlas Architecture","atlasarchitecture","atlasarchitecture@Accruent.com"
"Forward - Laurie Waddell","Forward - Laurie Waddell","FwdLWaddell","FwdLWaddell@Accruent.com"
"RCA PM Group","RCA PM Group","rcapmgroup","rcapmgroup@Accruent.com"
"Four Rivers Answers","Four Rivers Answers","fourriversanswers","fourriversanswers@Accruent.com"
"Atlas Documentation Team","Atlas Documentation Team","atlasdocumentationteam","atlasdocumentationteam@Accruent.com"
"Engineering Contractors","Engineering Contractors","EngineeringContractors","EngineeringContractors@Accruent.com"
"All at Approved Emailers","All at Approved Emailers","allatappe","allatappe@Accruent.com"
"All at Evoco","All at Evoco","AllAtEvoco","AllAtEvoco@Accruent.com"
"360Facility QA Team","360Facility QA Team","360FacilityQATeam","360FacilityQATeam@Accruent.com"
"360Facility Dev Team","360Facility Dev Team","360FacilityDevTeam","360FacilityDevTeam@Accruent.com"
"Accruent Dev Contractors","Accruent Dev Contractors","AccruentDevContractors","AccruentDevContractors@Accruent.com"
"Siterra QA Team","Siterra QA Team","SiterraQATeam","SiterraQATeam@Accruent.com"
"Engineering QA Contractors","Engineering QA Contractors","EngineeringQAContractors","EngineeringQAContractors@Accruent.com"
"JavaDist","JavaDist","JavaDist","JavaDist@Accruent.com"
"WebLA-Tech","WebLA-Tech","WebLA-Tech","WebLA-Tech@Accruent.com"
"Evoco UAT","Evoco UAT","evocouat","evocouat@Accruent.com"
"Evoco Knowledgebase","Evoco Knowledgebase","evocoknowledgebase","evocoknowledgebase@Accruent.com"
"Four Rivers UpgrademyWorkgroup","Four Rivers UpgrademyWorkgroup","fourriversupgrademyworkgroup","fourriversupgrademyworkgroup@accruent.com"
"Engineering Support SFDC","Engineering Support SFDC","engineeringsupportsfdc","engineeringsupportsfdc@Accruent.com"
"Mike VM","[VM] Mike VM","mikevm","mikevm@Accruent.com"
"Four Rivers DC Updates","Four Rivers DC Updates","fourriversdcupdates","fourriversdcupdates@Accruent.com"
"Industry Solutions","Industry Solutions","IndustrySolutions","IndustrySolutions@Accruent.com"
"Product Strategy","Product Strategy","ProductStrategy","ProductStrategy@Accruent.com"
"CMHQ-BTS-BTS2 Errors","CMHQ-BTS-BTS2 Errors","cmhq-bts-bts2errors","cmhq-bts-bts2errors@Accruent.com"
"IT Invoices","IT Invoices","ITInvoices","ITInvoices@Accruent.com"
"Four Rivers Customer Satisfaction","Four Rivers Customer Satisfaction","fourriverscustomersatisfaction","fourriverscustomersatisfaction@Accruent.com"
"Support Services","Support Services","SupportServices","SupportServices@Accruent.com"
"Sharepoint Sales Directors","Sharepoint Sales Directors","SharepointSalesDirectors","SharepointSalesDirectors@accruent.com"
"All of Contractors","All of Contractors","allofcontractors","allofcontractors@Accruent.com"
"alert-grp","alert-grp","alert-grp","alert-grp@Accruent.com"
"FICP","FICP","FICP","FICP@accruent.com"
"Expesite Product Advisory Board","Expesite Product Advisory Board","expesiteproduct","expesiteproduct@Accruent.com"
"Atlas Reporting Eng Team","Atlas Reporting Eng Team","atlasreporingengteam","atlasreporingengteam@Accruent.com"
"Hosting Automation Team","Hosting Automation Team","hostingautomationteam","hostingautomationteam@Accruent.com"
"WM NA","WM NA","wmna","wmna@Accruent.com"
"Sharepoint Sales Managers","Sharepoint Sales Managers","SharepointSalesManagers","SharepointSalesManagers@accruent.com"
"Evoco Pep","Evoco Pep","evocopep","evocopep@Accruent.com"
"ATCM-test","ATCM-test","ATCM-test","ATCM-test@Accruent.com"
"Home Depot SWPPP","Home Depot SWPPP","hdswppp","hdswppp@Accruent.com"
"Honeywell","Honeywell","Honeywell","Honeywell@accruent.com"
"Four Rivers Travel Coordinator","Four Rivers Travel Coordinator","travelcoordinator","travelcoordinator@Accruent.com"
"WM SAP","WM SAP","wmsap","wmsap@Accruent.com"
"Weekly Release","Weekly Release","WeeklyRelease","WeeklyRelease@Accruent.com"
"Engineering Services Augment Team","Engineering Services Augment Team","EngSvcAugment","EngSvcAugment@Accruent.com"
"WHS-Admin","WHS-Admin","WHS-Admin","WHS-Admin@accruent.com"
"Evoco QA Team","Evoco QA Team","evocoqateam","evocoqateam@Accruent.com"
"Airports","Airports","Airports","Airports@accruent.com"
"Accruent OnPrem QA Team","Accruent OnPrem QA Team","AccruentOnPremQATeam","AccruentOnPremQATeam@Accruent.com"
"Hosting","Hosting","hosting","hosting@Accruent.com"
"Customer Support","CustomerSupport","CustomerSupport","CustomerSupport@accruentatlas.onmicrosoft.com"
"IT Services Mgmt","IT Operations Mgmt","itopsmgmt","itopsmgmt@Accruent.com"
"All at US Contractors","All at US Contractors","allatuscontractors","allatuscontractors@Accruent.com"
"All at Canada Contractors","All at Canada Contractors","allatcanadacontractors","allatcanadacontractors@Accruent.com"
"Siterra Support Team","Siterra Support Team","SiterraSupportTeam","SiterraSupportTeam@Accruent.com"
"Siterra Product","Siterra Product","SiterraProduct","SiterraProduct@Accruent.com"
"SFDC Steering Committee","SFDC Steering Committee","SteeringCommittee","SteeringCommittee@accruent.com"
"Strategy Team","Strategy Team","StrategyTeam","StrategyTeam@Accruent.com"
"edutraining@accruent.com","edutraining@accruent.com","edutraining","edutraining@accruent.com"
"exceptionMonitoring","exceptionMonitoring","exceptionMonitoring","exceptionMonitoring@accruent.com"
"Software Services","Software Services","SoftwareServices","softwareservices@accruent.com"
"Evoco Web Server Notifications","Evoco Web Server Notifications","evocowebservernotifications","evocowebservernotifications@Accruent.com"
"Expesite Customer Metrics","Expesite Customer Metrics","expesitecustomermetrics","expesitecustomermetrics@Accruent.com"
"MovemberCoalition","MovemberCoalition","MovemberCoalition","MovemberCoalition@Accruent.com"
"Siterra PM QA","Siterra PM QA","SiterraPMQA","SiterraPMQA@Accruent.com"
"NJ_Support_Escalation","NJ_Support_Escalation","NJ_Support_Escalation","NJ_Support_Escalation@accruent.com"
"InstanceHealthMonitoring","hansk,","InstanceHealthMonitoring","InstanceHealthMonitoring@accruent.com"
"Mailbox Forward - Samantha Kostelnic","Mailbox Forward - Samantha Kostelnic","mfskostelnic","mfskostelnic@Accruent.com"
"JBolke VM","[VM] JBolke VM","JBolkeVM","JBolkeVM@Accruent.com"
"[IT] Help Desk Tier 2","[IT] Help Desk Tier 2","helpdesktier2","helpdesktier2@Accruent.com"
"DG canada accounting AP","DG canada accounting AP","canadaap","canadaap@accruent.com"
"Professional Services FTE Indy","Professional Services FTE Indy","ProfessionalServicesFTEIndy","ProfessionalServicesFTEIndy@accruent.com"
"Netsec","Netsec","Netsec","Netsec@Accruent.com"
"MelissaS VM","[VM] MelissaS VM","MelissaSVM","MelissaSVM@Accruent.com"
"Incident Team","Incident Team","incidentteam","incidentteam@Accruent.com"
"SiteFM QA Team","SiteFM QA Team","SiteFMQATeam","SiteFMQATeam@Accruent.com"
"[VM] GRivera VM","[VM] GRivera VM","griveravm","griveravm@Accruent.com"
"JBeem VM","[VM] JBeem VM","JBeemVM","JBeemVM@Accruent.com"
"netadmin","netadminsg","netadmin2","netadmin2@Accruent.com"
"pmgeneral","pmgeneral","pmgeneral","pmgeneral@Accruent.com"
"NBDSSIntegration","NBDSSIntegration","NBDSSIntegration","NBDSSIntegration@accruent.com"
"green","green","green","green@accruent.com"
"LeaseAdministration","LeaseAdministration","LeaseAdministration","LeaseAdministration@Accruent.com"
"mobile-services","mobile-services","mobile-services","mobile-services@Accruent.com"
"Forward - Austin Barnes","Forward - Austin Barnes","FwdABarnes","FwdABarnes@Accruent.com"
"edusupport@accruent.com","edusupport@accruent.com","edusupport","edusupport@accruent.com"
"[VM] KConnery VM","[VM] KConnery VM","kconneryvm","kconneryvm@Accruent.com"
"QAPerformanceTest","QAPerformanceTest","QAPerformanceTest","QAPerformanceTest@Accruent.com"
"Suncor Alerts","Suncor Alerts","suncoralerts","suncoralerts@Accruent.com"
"SiteFM Dev Team","SiteFM Dev Team","SiteFMDevTeam","SiteFMDevTeam@Accruent.com"
"Automated Testing DL","Automated Testing DL","AutomatedTestingDL","AutomatedTestingDL@Accruent.com"
"PS SLM developers","PS SLM developers","PSSLMdevelopers","PSSLMdevelopers@Accruent.com"
"Expesite Dev Team Administrators","Expesite Dev Team Administrators","expesitedevadmins","expesitedevadmins@Accruent.com"
"artvfa","artvfa","artvfa","artvfa@accruent.com"
"Senior Support Engineer Team","Senior Support Engineer Team","SeniorSupportEngineerTeam","SeniorSupportEngineerTeam@Accruent.com"
"Accruent Dev CIT","Accruent Dev CIT","AccruentDevCIT","AccruentDevCIT@Accruent.com"
"Linear Assets Team","Linear Assets Team","LinearAssetsTeam","LinearAssetsTeam@accruent.com"
"FAMIS Product Mgmt","FAMIS Product Mgmt","FAMISProductMgmt","FAMISProductMgmt@Accruent.com"
"VFAProjectAssistants","VFAProjectAssistants","VFAProjectAssistants","VFAProjectAssistants@accruent.com"
"Atlas Engineering Services","Atlas Engineering Services","atlasengineeringservices","atlasengineeringservices@Accruent.com"
"Famis QA Team","FamisQATeam","FamisQATeam","FamisQATeam@Accruent.com"
"CBREInvoice","CBREInvoice","CBREInvoice","CBREInvoice@Accruent.com"
"360Facility Hosting","360Facility Hosting","360FacilityHosting","360FacilityHosting@Accruent.com"
"Expesite QA Team","Expesite QA Team","expesiteqateam","expesiteqateam@Accruent.com"
"FamisV4 Web Services","FamisV4 Web Services","FamisV4WebServices","FamisV4WebServices@Accruent.com"
"Engineering Services","Engineering Services","EngSvc","EngSvc@Accruent.com"
"VFAdevteam","VFAdevteam","VFAdevteam","VFAdevteam@accruent.com"
"Incident Management","Incident Management","IncidentManagement","IncidentManagement@Accruent.com"
"FAMIS Support Team","FAMISSupportTeam","FAMISSupportTeam","FAMISSupportTeam@Accruent.com"
"Engineering Services Dept","Engineering Services Dept","EngineeringServicesDept","EngineeringServicesDept@Accruent.com"
"IT Operations","IT Operations","itoperations","itoperations@Accruent.com"
"HSBC Pilot Team","HSBC Pilot Team","HSBCPilotTeam","HSBCPilotTeam@accruent.com"
"Professional Services Dept","Professional Services Dept","ProfessionalServicesDept","ProfessionalServicesDept@Accruent.com"
"Atlas Support Team","Atlas Support Team","atlassupportteam","atlassupportteam2@Accruent.com"
"Software Indianapolis","Software Indianapolis","SoftwareIndianapolis","SoftwareIndianapolis@accruent.com"
"Product Issues Team","Product Issues Team","ProductIssueTeam","ProductIssueTeam@accruent.com"
"Sharepoint Consulting","Sharepoint Consulting","SharepointConsulting","SharepointConsulting@accruent.com"
"Code Guidelines","Code Guidelines","codeguidelines","codeguidelines@Accruent.com"
"Mobile API Dev Team","Mobile API Dev Team","mobileapidevteam","mobileapidevteam@Accruent.com"
"OSRB","OSRB","osrb","osrb@Accruent.com"
"[VM] BGlass VM","[VM] BGlass VM","bglassvm","bglassvm@Accruent.com"
"Accruent Engineering Team","Accruent Engineering Team","AccruentEngineeringTeam","AccruentEngineeringTeam@Accruent.com"
"Engineering Services Team","Engineering Services Team","EngineeringServicesTeam","EngineeringServicesTeam@Accruent.com"
"Engineering Services Contractors","Engineering Services Contractors","EngineeringServicesContractors","EngineeringServicesContractors@Accruent.com"
"PS Team","PS Team","PSTeam","PSTeam@accruent.com"
"PS Contractors","PS Contractors","PSContractors","PSContractors@Accruent.com"
"PS Mgmt","PS Mgmt","PSMgmt","PSMgmt@Accruent.com"
"VFAProductDevelopment","VFAProductDevelopment","VFAProductDevelopment","VFAProductDevelopment@accruent.com"
"Atlas Hosting","Atlas Hosting","atlashosting","atlashosting@Accruent.com"
"360Facility Support Team DL","360Facility Support Team DL","360FacilitySupportTeamDL","360FacilitySupportTeamDL@Accruent.com"
"Facility Management Support Team","Facility Management Support Team","FacilityManagementSupportTeam","FacilityManagementSupportTeam@Accruent.com"
"Support Team","Support Team","SupportTeam","SupportTeam@Accruent.com"
"Accruent Dev PCI","Accruent Dev PCI","AccruentDevPCI","AccruentDevPCI@Accruent.com"
"Architects","Architects","architects","architects@Accruent.com"
"Accruent Dev Team","Accruent Dev Team","AccruentDevTeam","AccruentDevTeam@Accruent.com"
"Accruent QA Team","Accruent QA Team","AccruentQATeam","AccruentQATeam@Accruent.com"
"FAMIS QA Dept","FAMIS QA Dept","FAMISQADept","FAMISQADept@Accruent.com"
"VFAMarketingBusinessDevelopment","VFAMarketingBusinessDevelopment","VFAMarketingBusinessDevelopment","VFAMarketingBusinessDevelopment@accruent.com"
"[PS] Retail Services","[PS] Retail Services","RetailServices","RetailServices@Accruent.com"
"Atlas PM QA Team","Atlas PM QA Team","atlaspmqateam","atlaspmqateam@Accruent.com"
"Atlas Tools Dev Team","Atlas Tools Dev Team","AtlasToolsDevTeam","AtlasToolsDevTeam@Accruent.com"
"EDINotifications","EDI-MPPNotifications","EDINotifications","EDINotifications@Accruent.com"
"Telecom Account Management","Telecom Account Management","account-management","account-management@Accruent.com"
"All of Product Management","[PM] All of Product Management","AllofProdMgmt","AllofProdMgmt@Accruent.com"
"All PS and ES","All PS and ES","allpsandes","allpsandes@Accruent.com"
"Deployment","Deployment","Deployment","Deployment@Accruent.com"
"Four Rivers Reports_4ca7995ae9","Four Rivers Reports","fourriversreports","fourriversreports@accruent.com"
"Ontario K-12 Core Team","Ontario K-12 Core Team","OntarioK-12CoreTeam","OntarioK-12CoreTeam@accruent.com"
"BI Advisory Team","BI Advisory Team","BIAdvisoryTeam","BIAdvisoryTeam@accruent.com"
"Planet Feed","Planet Feed","PlanetFeed","PlanetFeed@Accruent.com"
"ABL League Office","ABL League Office","ablleagueoffice","ablleagueoffice@Accruent.com"
"FamisV4 Dev Dept","FamisV4 Dev Dept","FamisV4DevDept","FamisV4DevDept@Accruent.com"
"Evoco DBA","Evoco DBA","evocodba","evocodba@Accruent.com"
"[ENG] Expesite Code Release Deployment Updates","[ENG] Expesite Code Release Deployment Updates","expesitecodereleasedeploymentupdates","expesitecodereleasedeploymentupdates@Accruent.com"
"Accruent Dev Dept","Accruent Dev Dept","AccruentDevDept","AccruentDevDept@Accruent.com"
"Hosting DevOps Team","Hosting DevOps Team","hostingdevopsteam","hostingdevopsteam@Accruent.com"
"Management_team","Management_team","xteam","xteam@accruent.com"
"Healthcare Management","Healthcare Management","healthcaremanagement","healthcaremanagement@accruent.com"
"All at SiteFM","All at SiteFM","AllatSiteFM","AllatSiteFM@Accruent.com"
"auditor-touch-qa","auditor-touch-qa","auditor-touch-qa","auditor-touch-qa@accruent.com"
"Accruent UX","Accruent UX","ux","ux@Accruent.com"
"Siterra Deployment Team","Siterra Deployment Team","SiterraDeploymentTeam","SiterraDeploymentTeam@Accruent.com"
"Finance Mgmt","Finance Mgmt","FinanceMgmt","FinanceMgmt@Accruent.com"
"Accruent Hosted Severity","Accruent Hosted Severity","accruenthostedseverity","accruenthostedseverity@Accruent.com"
"Applmonitoring","Applmonitoring","Applmonitoring","Applmonitoring@accruent.com"
"Sprint UAT","Sprint UAT","sprintuat","sprintuat@Accruent.com"
"AppDynamics Users","AppDynamics Users","AppDynamicsUsers","AppDynamicsUsers@Accruent.com"
"Wal-Mart USA Admins","Wal-Mart USA Admins","ext_wmusa_admin","ext_wmusa_admin@Accruent.com"
"NewHireCreated","NewHireCreated","NewHireCreated","NewHireCreated@Accruent.com"
"hostingreleaseteam","Hosting Release Team","hostingreleaseteam","hostingreleaseteam@Accruent.com"
"Product Mgmt Dept","Product Management Department","ProductManagementDepartment","ProductManagementDepartment@Accruent.com"
"Retail PS Team","Retail PS Team","retailpsteam","retailpsteam@Accruent.com"
"Retail PS Leadership","Retail PS Leadership","retailPS","retailPS@Accruent.com"
"Product Dev Vaughn","Product Dev Vaughn","ProductDevVaughn","productdevvaughn@accruent.com"
"Product Dev Boston","Product Dev Boston","ProductDevBoston","ProductDevBoston@accruent.com"
"FAMIS Dev Dept","FAMIS Dev Dept","FAMISDevDept","FAMISDevDept@Accruent.com"
"360Facility Dev Dept","360Facility Dev Dept","360FacilityDevDept","360FacilityDevDept@Accruent.com"
"Siterra Engineering Team","Siterra Engineering Team","SiterraEngineeringTeam","SiterraEngineeringTeam@Accruent.com"
"Accruent Hosting OnCall","Accruent Hosting OnCall","AccruentHostingOnCall","AccruentHostingOnCall@Accruent.com"
"Expesite Hosting OnCall","Expesite Hosting OnCall","expesitehostingoncall","expesitehostingoncall@Accruent.com"
"Siterra Product Management","Siterra Product Management","siterraproductmanagement","siterraproductmanagement@Accruent.com"
"Product Operations (Pdo)","DEPT|Product Operations","pdo","pdo@accruent.com"
"VFASoftwareManagementTeam","VFASoftwareManagementTeam","VFASoftwareManagementTeam","VFASoftwareManagementTeam@accruent.com"
"DiscoveryLetters","DiscoveryLetters","DiscoveryLetters","DiscoveryLetters@accruent.com"
"Orbis Acquistion","Orbis Acquistion","OrbisAcquistion","OrbisAcquistion@Accruent.com"
"CCF Implementation","CCF Implementation","ccfimplementation","ccfimplementation@Accruent.com"
"Healthcare Data Conversions","Healthcare Data Services","fourriversdataconversions","fourriversdataconversions@Accruent.com"
"[ALL] VFA FTE CA","All at VFA Canada","AllatVFACanada","AllatVFACanada@Accruent.com"
"APIDevelopers","APIDevelopers","APIDevelopers","APIDevelopers@accruent.com"
"360Disposition","360Disposition","360Disposition","360Disposition@Accruent.com"
"Office Manager","Office Manager","officemanager","officemanager@Accruent.com"
"Forward - Lorraine Ruddy","Forward - Lorraine Ruddy","FwdLRuddy","FwdLRuddy@Accruent.com"
"VFA Support","VFA Support","vfasupport","vfasupport@Accruent.com"
"Legacy-Colo Hosting","Legacy-Colo Hosting","legacycolohosting","legacycolohosting@Accruent.com"
"CRE Leadership Team","CRE Leadership Team","CRELeadershipTeam","CRELeadershipTeam@Accruent.com"
"FAMIS Dev Team","FAMIS Dev Team","FAMISDevTeam","FAMISDevTeam@Accruent.com"
"Software","Software","Software","software@accruent.com"
"Training Services Team","Training Services Team","TrainingServicesTeam","TrainingServicesTeam@Accruent.com"
"[IT] Help Desk Tier 3","[IT] Help Desk Tier 3","helpdesktier3","helpdesktier3@Accruent.com"
"exceptionMonitoring-PDL","exceptionMonitoring-PDL","exceptionMonitoring-PDL","exceptionMonitoring-PDL@Accruent.com"
"[IT] Infrastructure Team","[IT] Infrastructure Team","itinfrastructure","itinfrastructure@Accruent.com"
"Sprint-Severity","Sprint-Severity","Sprint-Severity","Sprint-Severity@Accruent.com"
"Services Revenue","Services Revenue","ServicesRevenue","ServicesRevenue@Accruent.com"
"Professional Services - Indy","Professional Services - Indy","ProfessionalServices-Indy","ProfessionalServices-Indy@accruent.com"
"Atlas LA PreSeverity","Atlas LA PreSeverity","AtlasLAPreseverity","AtlasLAPreseverity@Accruent.com"
"Photo","Photo","photo","photo@Accruent.com"
"Boston Conference Rooms","Boston Conference Rooms","BostonConferenceRooms","BostonConferenceRooms@accruent.com"
"Product Build Updates","Product Build Updates","ProductBuildUpdates","ProductBuildUpdates@Accruent.com"
"Products At Risk Escalation Report","GROUP|Products At Risk Escalation Report","productsatriskescalationreport","productsatriskescalationreport@Accruent.com"
"Hiring Management Team","Hiring Management Team","HiringManagementTeam","HiringManagementTeam@Accruent.com"
"Retail Support Team","Retail Support Team","RetailSupportTeam","RetailSupportTeam@Accruent.com"
"sfis","sfis","sfis","sfis@accruent.com"
"Crocodile QA Team","Crocodile QA Team","crocodileqateam","crocodileqateam@Accruent.com"
"VFA DBTeam","VFA DBTeam","VFADBTeam","VFADBTeam@accruent.com"
"VFACoreProductTeam","VFACoreProductTeam","VFACoreProductTeam","VFACoreProductTeam@accruent.com"
"FamisV4 QA Team","FamisV4 QA Team","FamisV4QATeam","FamisV4QATeam@Accruent.com"
"crocodileappDG","crocodileappDG","crocodileappDG","crocodileappDG@Accruent.com"
"webinars","webinars","webinars","webinars@Accruent.com"
"[ALL] VFA FTE Toronto","VFA FTE Toronto","VFAFTEToronto","VFAFTEToronto@accruent.com"
"[ALL] VFA FTE Vancouver","VFA FTE Vancouver","VFAFTEVancouver","VFAFTEVancouver@accruent.com"
"Famis Hosting","Famis Hosting","FamisHosting","FamisHosting@Accruent.com"
"Accruent Hosting","Accruent Hosting","AccruentHosting","AccruentHosting@Accruent.com"
"Evoco Hosting","Evoco Hosting","evocohosting","evocohosting@Accruent.com"
"Software Boston","Software Boston","SoftwareBoston","SoftwareBoston@accruent.com"
"Executive Team","Executive Team","ExecutiveTeam","ExecutiveTeam@Accruent.com"
"Evoco Support Team","Evoco Support Team","EvocoSupportTeam","EvocoSupportTeam@Accruent.com"
"FamisV4 Engineering Team","FamisV4 Engineering Team","FamisV4EngineeringTeam","FamisV4EngineeringTeam@Accruent.com"
"[SUP] SharedBrav82","[SUP] SharedBrav82","sharedbrav82","sharedbrav82@Accruent.com"
"QAOps","QAOps","qaops","qaops@Accruent.com"
"Atlas Engineering Management","Atlas Engineering Management","atlasengineeringmanagement","atlasengineeringmanagement@Accruent.com"
"360Facility Hosting OnCall","360Facility Hosting OnCall","360facilityhostingoncall","360facilityhostingoncall@Accruent.com"
"[SUP] Trainappv82","[SUP] Trainappv82","trainappv82","trainappv82@Accruent.com"
"Famis Severity","FamisSeverity","famisseverity","famisseverity@Accruent.com"
"Accruent IT Alert","Accruent IT Alert","AccruentITAlert","AccruentITAlert@Accruent.com"
"Siterra Leadership Team","Siterra Leadership Team","SiterraLeadershipTeam","SiterraLeadershipTeam@Accruent.com"
"[EXEC] GM Team","[EXEC] GM Team","gmteam","gmteam@Accruent.com"
